"","iso3","lvl2_typ","lvl2_nm","count"
"1","BRA","Municipality","Abreu e Lima",1
"2","BRA","Municipality","Acaraú",3
"3","BRA","Municipality","Água Doce do Maranhão",1
"4","BRA","Municipality","Alcântara",2
"5","BRA","Municipality","Alcobaca",1
"6","BRA","Municipality","Alhandra",1
"7","BRA","Municipality","Amapá",2
"8","BRA","Municipality","Amontada",5
"9","BRA","Municipality","Anchieta",3
"10","BRA","Municipality","Angra dos Reis",6
"11","BRA","Municipality","Antonina",3
"12","BRA","Municipality","Apicum-Açu",2
"13","BRA","Municipality","Aquiraz",5
"14","BRA","Municipality","Aracaju",1
"15","BRA","Municipality","Aracati",2
"16","BRA","Municipality","Aracruz",3
"17","BRA","Municipality","Araioses",1
"18","BRA","Municipality","Arambaré",2
"19","BRA","Municipality","Araquari",2
"20","BRA","Municipality","Araranguá",4
"21","BRA","Municipality","Araruama",1
"22","BRA","Municipality","Areia Branca",1
"23","BRA","Municipality","Arês",1
"24","BRA","Municipality","Armação dos Búzios",1
"25","BRA","Municipality","Armazém",1
"26","BRA","Municipality","Arraial do Cabo",1
"27","BRA","Municipality","Arroio do Sal",1
"28","BRA","Municipality","Augusto Corrêa",4
"29","BRA","Municipality","Axixá",1
"30","BRA","Municipality","Bacabeira",1
"31","BRA","Municipality","Bacuri",1
"32","BRA","Municipality","Baía da Traição",1
"33","BRA","Municipality","Baía Formosa",1
"34","BRA","Municipality","Balneário Arroio do Silva",1
"35","BRA","Municipality","Balneário Barra do Sul",1
"36","BRA","Municipality","Balneário Camboriú",1
"37","BRA","Municipality","Balneário Gaivota",1
"38","BRA","Municipality","Balneário Pinhal",3
"39","BRA","Municipality","Bananal",1
"40","BRA","Municipality","Barra de Santo Antônio",1
"41","BRA","Municipality","Barra de São Miguel",1
"42","BRA","Municipality","Barra do Ribeiro",1
"43","BRA","Municipality","Barra dos Coqueiros",1
"44","BRA","Municipality","Barra Velha",1
"45","BRA","Municipality","Barreirinhas",1
"46","BRA","Municipality","Barreiros",2
"47","BRA","Municipality","Barroquinha",3
"48","BRA","Municipality","Bayeux",1
"49","BRA","Municipality","Beberibe",5
"50","BRA","Municipality","Belford Roxo",3
"51","BRA","Municipality","Belmonte",2
"52","BRA","Municipality","Bequimão",1
"53","BRA","Municipality","Bertioga",1
"54","BRA","Municipality","Biguaçu",3
"55","BRA","Municipality","Biritiba Mirim",1
"56","BRA","Municipality","Bombinhas",1
"57","BRA","Municipality","Braganga",3
"58","BRA","Municipality","Brejo Grande",1
"59","BRA","Municipality","Caaporã",1
"60","BRA","Municipality","Cabedelo",1
"61","BRA","Municipality","Cabo",3
"62","BRA","Municipality","Cabo Frio",2
"63","BRA","Municipality","Cachoeira",3
"64","BRA","Municipality","Caicó",1
"65","BRA","Municipality","Cairu",4
"66","BRA","Municipality","Cajueiro da Praia",1
"67","BRA","Municipality","Calçoene",2
"68","BRA","Municipality","Camaçari",3
"69","BRA","Municipality","Camagua",2
"70","BRA","Municipality","Camamu",3
"71","BRA","Municipality","Camaragibe",1
"72","BRA","Municipality","Camboriú",2
"73","BRA","Municipality","Camocim",3
"74","BRA","Municipality","Campos",2
"75","BRA","Municipality","Cananéia",2
"76","BRA","Municipality","Canavieiras",3
"77","BRA","Municipality","Candeias",1
"78","BRA","Municipality","Cândido Mendes",3
"79","BRA","Municipality","Canelinha",1
"80","BRA","Municipality","Canguaretama",1
"81","BRA","Municipality","Canoas",1
"82","BRA","Municipality","Capão da Canoa",2
"83","BRA","Municipality","Capão do Leão",4
