"","iso3","village","count"
"1","BRA","Abacate",1
"2","BRA","Abade",1
"3","BRA","Acaizinho",1
"4","BRA","Acarau",1
"5","BRA","Acorajozinho",1
"6","BRA","Ae",1
"7","BRA","Agrisal",1
"8","BRA","agua Boa",1
"9","BRA","Agua Boa",1
"10","BRA","Ajuruteua",1
"11","BRA","Alaodoal",1
"12","BRA","Alaodoalzinho",1
"13","BRA","Algodoal",1
"14","BRA","Alto Camapu",1
"15","BRA","Alto Pereru",1
"16","BRA","Alto Pindorama",1
"17","BRA","America",2
"18","BRA","Apei",1
"19","BRA","Apicum",1
"20","BRA","Arai",1
"21","BRA","Arapepo",1
"22","BRA","Arapiranga",3
"23","BRA","Arariba",1
"24","BRA","Ararijo",2
"25","BRA","Araticu-Miri",1
"26","BRA","Araticum-Acu",1
"27","BRA","Arpiranga",1
"28","BRA","Atalaia",2
"29","BRA","Aturial",1
"30","BRA","Bacabal",1
"31","BRA","Bacanga Porto",1
"32","BRA","Bacuriteua",2
"33","BRA","Baixo Pereru",1
"34","BRA","Bandeira Branca",1
"35","BRA","Bela Vista",1
"36","BRA","Bem-Te-Vi",1
"37","BRA","Boa Esperanca",2
"38","BRA","Boa Uniao",1
"39","BRA","Boa Vista",6
"40","BRA","Boa Vista do Iririteua",1
"41","BRA","Bom Jardim",1
"42","BRA","Bossa Nova",1
"43","BRA","Bunhao",1
"44","BRA","Buritizal",1
"45","BRA","Cacada",1
"46","BRA","Cachoeirinha",1
"47","BRA","Cafezal",2
"48","BRA","Caiana",1
"49","BRA","Caju",2
"50","BRA","Cajueiro",2
"51","BRA","Camapu Miri",1
"52","BRA","Camara",1
"53","BRA","Camboinha",1
"54","BRA","Campinho",2
"55","BRA","Caratateua",2
"56","BRA","Caraxio",1
"57","BRA","Cariperana",1
"58","BRA","Carmo",1
"59","BRA","Castanha",1
"60","BRA","Castanheira",1
"61","BRA","Cebola",1
"62","BRA","Cedro",1
"63","BRA","Chavascal",1
"64","BRA","Chica Velha",1
"65","BRA","Cocal",1
"66","BRA","Conceicao",1
"67","BRA","Coqueiro",1
"68","BRA","Corema",1
"69","BRA","Corta Jaca",1
"70","BRA","Cueiras",1
"71","BRA","Cumaru",1
"72","BRA","Curuca",1
"73","BRA","Curucambaua",1
"74","BRA","Curucazinho",1
"75","BRA","Cutia",1
"76","BRA","Derrubada",2
"77","BRA","Derrubadinha",1
"78","BRA","Divineia",1
"79","BRA","Emborai",1
"80","BRA","Engenho",1
"81","BRA","Enseada Funda",1
"82","BRA","Entrocamento",1
"83","BRA","Faz AGRISAL",1
"84","BRA","Faz Santa Rita",1
"85","BRA","Faz. Acailandia",1
"86","BRA","Faz. Esperanca",1
"87","BRA","Faz. Maria",1
"88","BRA","Faz. Santa Julia",1
"89","BRA","Fazendinha",1
"90","BRA","Fernandes Belo",1
"91","BRA","Flaura",1
"92","BRA","Flexeira",1
"93","BRA","Fortaleza",1
"94","BRA","Furo Novo",1
"95","BRA","Giz-Emaes",1
"96","BRA","Gloria",1
"97","BRA","Guarajuba",1
"98","BRA","Hacuriteua",1
"99","BRA","Helvecia",1
"100","BRA","Igarape Grande",1
"101","BRA","Ilha Bacuri",1
"102","BRA","Ilha Boa Esperanca",1
"103","BRA","Ilha do Coco",1
"104","BRA","Ilha do Coici",1
"105","BRA","Ilha do Guapu",1
"106","BRA","Ilha do Piriquito",1
"107","BRA","Ilha Madeira",1
"108","BRA","Ilha Serrada",1
"109","BRA","Inaja",1
"110","BRA","Iriteua",1
"111","BRA","Itacupim",1
"112","BRA","Itajuba",1
"113","BRA","Itapeua",1
"114","BRA","Itauracu",1
"115","BRA","Jabiotitiua",1
"116","BRA","Jacu",1
"117","BRA","Janaiai",1
"118","BRA","Japerica",1
"119","BRA","Japeta",1
"120","BRA","Jari",1
"121","BRA","Jeronimo",1
"122","BRA","Jiboia",1
"123","BRA","Joroca",1
"124","BRA","Jucateua",1
"125","BRA","Jutai",1
"126","BRA","Juvencio",1
"127","BRA","Laranjal",4
"128","BRA","Livramento",1
"129","BRA","Macapa",1
"130","BRA","Macarico",1
"131","BRA","Machadinha",1
"132","BRA","MAcuru",1
"133","BRA","Madureira",1
"134","BRA","Mae Maria",1
"135","BRA","Mangue Seco",1
"136","BRA","Mangueira",1
"137","BRA","Maracuja",1
"138","BRA","Marcos",1
"139","BRA","Marinha",1
"140","BRA","Martins Pinheiro",1
"141","BRA","Martinslandia",1
"142","BRA","Marucanopolis",1
"143","BRA","Maruda",1
"144","BRA","Marumaru",1
"145","BRA","Mauriti",1
"146","BRA","Mimi",1
"147","BRA","Minas",1
"148","BRA","Mirim",1
"149","BRA","Mirinzal",1
"150","BRA","Mota",1
"151","BRA","Mura",1
"152","BRA","Murari",1
"153","BRA","Mutucal",1
"154","BRA","Nana",1
"155","BRA","Nascimento",2
"156","BRA","Nazare",1
"157","BRA","Nazarezinho",2
"158","BRA","Nilo",1
"159","BRA","NOME INLEGIVEL",1
"160","BRA","Nova Brasflia",1
"161","BRA","Nova Esperanca",1
"162","BRA","Nova Olinda",1
"163","BRA","Oriente",1
"164","BRA","Pacamurema",1
"165","BRA","Pacoval",1
"166","BRA","Paixao",1
"167","BRA","Parada Preguica",1
"168","BRA","Paraiso",2
"169","BRA","Pariquis",1
"170","BRA","Paruja",1
"171","BRA","Patalino",1
"172","BRA","Pataua",1
"173","BRA","Patrimonio",1
"174","BRA","Pau-Amarelo",1
"175","BRA","Paulinho",1
"176","BRA","Pedra Granda",1
"177","BRA","Pedrinha",1
"178","BRA","Pepua",1
"179","BRA","Peri Novo",1
"180","BRA","Peri Velho",1
"181","BRA","Perimirim",1
"182","BRA","Pernambuco",1
"183","BRA","Peroba",1
"184","BRA","Pinduba",1
"185","BRA","Pinheiro",1
"186","BRA","Pirateua",2
"187","BRA","Piria",1
"188","BRA","Pombal",1
"189","BRA","Ponta  Alta",1
"190","BRA","Ponta Alegre",1
"191","BRA","Ponta Alta",1
"192","BRA","Ponta da Alemanha",1
"193","BRA","Ponta da Areia",1
"194","BRA","Ponta da Cinza",1
"195","BRA","Ponta de Acuriteua",1
"196","BRA","Ponta de Pedras",1
"197","BRA","Ponta de Ramos",1
"198","BRA","Ponta Grande",2
"199","BRA","Ponta Grossa",1
"200","BRA","Porto do Atalaia",1
"201","BRA","Porto do campo",1
"202","BRA","Porto do Urimajo",1
"203","BRA","Porto Grande",3
"204","BRA","Pratiquara",1
"205","BRA","Prauajo",1
"206","BRA","Quarucambal",1
"207","BRA","Quatipuru Mirim",1
"208","BRA","Quatorze",1
"209","BRA","Quatro Bocas",2
"210","BRA","Recreio",1
"211","BRA","Retiro",1
"212","BRA","Retiro Boa Esperanca",1
"213","BRA","Ribanceira",1
"214","BRA","Rio Grande",2
"215","BRA","Sacatandeua",1
"216","BRA","Salinas",1
"217","BRA","Santa Catarina",1
"218","BRA","Santa Maria",1
"219","BRA","Santa Rosa",1
"220","BRA","Santana",1
"221","BRA","Santissima Trindade",1
"222","BRA","Santo Amaro",1
"223","BRA","Santo Antonio",1
"224","BRA","Santo Antonio de Ita",1
"225","BRA","Santo Inacio",1
"226","BRA","Sao Bento",1
"227","BRA","Sao Cristovpo",1
"228","BRA","Sao Domingos",1
"229","BRA","Sao Jeronimo",1
"230","BRA","Sao Joao dos Ramos",1
"231","BRA","Sao Jose",1
"232","BRA","Sao Lourenco",2
"233","BRA","Sao Mateus",1
"234","BRA","Sao Miguel",2
"235","BRA","Sao Paulo",1
"236","BRA","Sao Raimundo",2
"237","BRA","Sao Sebastiao de Vicosa",1
"238","BRA","Sao Sebastiao do Taqueri",1
"239","BRA","Sao Tome",1
"240","BRA","Sereno",1
"241","BRA","Seringa",1
"242","BRA","Serra Grande",1
"243","BRA","Serraria",1
"244","BRA","Sessenta",1
"245","BRA","Simimboca",1
"246","BRA","Simoa",1
"247","BRA","Sinhuca",1
"248","BRA","Sta. Maria",1
"249","BRA","Sta. Rosa",1
"250","BRA","Sto Antonio do Urindeua",1
"251","BRA","TaberebAcua",1
"252","BRA","TAcuteua",1
"253","BRA","Tamaruteua",1
"254","BRA","Tapera Acu campo",1
"255","BRA","Tapera Acu porto",1
"256","BRA","Terra Amarela",1
"257","BRA","Tijoca",1
"258","BRA","Timbiras",1
"259","BRA","Trapeval",1
"260","BRA","Tucum",1
"261","BRA","Tucuma",1
"262","BRA","Ubizal",1
"263","BRA","Ubucu",1
"264","BRA","Valentim",1
"265","BRA","Vial Acucar",1
"266","BRA","Vila Bacabal",1
"267","BRA","Vila Bom Jesus",1
"268","BRA","Vila Cuera",1
"269","BRA","Vila do Castelo",1
"270","BRA","Vila do Meio",1
"271","BRA","Vila do treme",1
"272","BRA","Vila dos  Lucas",1
"273","BRA","Vila Enseada",1
"274","BRA","Vila Nova",2
"275","BRA","Vila Penha",1
"276","BRA","Vila Rica",1
"277","BRA","Vista Alegre",1
"278","BRA","Vista Alegre do Para",1
"279","BRA","Xindeua",1
"280","BRA",NA,1
"281","HND","Agua Caliente",2
"282","HND","Agua Chiquita",1
"283","HND","Ahuas",1
"284","HND","Arenalosa",1
"285","HND","Armenia Bonito",1
